ID,COMPANY_CODE,PKS_CODE,PKS_NAME,DATE_FOSS_ANALYSIS,NORMA_AMPAS_PRESS,LOSIS_%_AMPAS_PRESS,NORMA_BIJI,LOSIS_%_BIJI,NORMA_TANDAN_KOSONG,LOSIS_%_TANDAN_KOSONG,NORMA_DRAB_AKHIR,LOSIS_%_DRAB_AKHIR,NORMA_SOLID_DECANTER,LOSIS_%_SOLID_DECANTER,NORMA_PKS_PER_DATE,LOSIS_PKS
1,N00D,DP03,PKS-DOS,28/09/2024, 0.52 , 0.41 , 0.10 , 0.09 , 0.44 , 0.44 , 0.26 , 0.32 , 0.07 , 0.07 , 1.39 , 1.35 
2,N00D,DP03,PKS-DOS,27/09/2024, 0.52 , 0.42 , 0.10 , 0.07 , 0.10 , 0.07 , 0.26 , 0.26 , 0.07 , 0.07 , 1.39 , 1.33 
3,N00D,DP03,PKS-DOS,26/09/2024, 0.52 , 0.41 , 0.10 , 0.06 , 0.10 , 0.06 , 0.26 , 0.35 , 0.07 , 0.07 , 1.39 , 1.39 
4,N00D,DP04,PKS-DOI,28/09/2024, 0.52 , 0.41 , 0.10 , 0.09 , 0.21 , 0.21 , 0.32 , 0.27 , 0.07 , 0.07 , 1.01 , 0.84 
5,N00D,DP04,PKS-DOI,27/09/2024, 0.52 , 0.44 , 0.10 , 0.10 , 0.21 , 0.22 , 0.32 , 0.26 , 0.07 , 0.07 , 1.01 , 0.87 
6,N00D,DP04,PKS-DOI,26/09/2024, 0.52 , 0.47 , 0.10 , 0.10 , 0.21 , 0.27 , 0.32 , 0.31 , 0.07 , 0.06 , 1.01 , 0.94 
